X,Y,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2,XCOORD,YCOORD
-73.846617756598931,40.841094683365647,NYPL67,NYPL,Other,212-340-0903,,,718-863-0436,,Westchester Square Branch,2521,Glebe Avenue,Bronx,10461.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Westchester Square Branch",2521 Glebe Avenue,"Bronx, NY 10461",-73.846618,40.841095
-73.867938593896184,40.90041508486545,NYPL68,NYPL,Other,212-340-0903,,,718-519-9627,,Woodlawn Heights Branch,4355,Katonah Avenue,Bronx,10470.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodlawn Heights Branch",4355 Katonah Avenue,"Bronx, NY 10470",-73.867939,40.900415
-73.90463510715837,40.820640830302523,NYPL69,NYPL,Other,212-340-0903,,,718-665-6255,,Woodstock Branch,761,East 160th Street,Bronx,10456.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodstock Branch",761 East 160th Street,"Bronx, NY 10456",-73.904635,40.820641
-74.10112452981906,40.590361171128912,NYPL70,NYPL,Other,212-340-0903,,,718-351-1444,,Dongan Hills Branch,1617,Richmond Road,Staten Island,10304.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Dongan Hills Branch",1617 Richmond Road,"Staten Island, NY 10304",-74.101125,40.590361
-74.151114910633808,40.552422452649189,NYPL71,NYPL,Other,212-340-0903,,,718-984-6670,,Great Kills Branch,56,Giffords Lane,Staten Island,10308.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Great Kills Branch",56 Giffords Lane,"Staten Island, NY 10308",-74.151115,40.552422
-74.19326854153482,40.534065036790366,NYPL72,NYPL,Other,212-340-0903,,,718-984-4636,,Huguenot Park Branch,830,Huguenot Avenue,Staten Island,10312.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Huguenot Park Branch",830 Huguenot Avenue,"Staten Island, NY 10312",-74.193269,40.534065
-74.111978000227069,40.571908765932548,NYPL73,NYPL,Other,212-340-0903,,,718-351-2977,,New Dorp Regional Branch,309,New Dorp Lane,Staten Island,10306.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Dorp Regional Branch",309 New Dorp Lane,"Staten Island, NY 10306",-74.111978,40.571909
-74.13114127573607,40.637568783264797,NYPL74,NYPL,Other,212-340-0903,,,718-442-0158,,Port Richmond Branch,75,Bennett Street,Staten Island,10302.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Port Richmond Branch",75 Bennett Street,"Staten Island, NY 10302",-74.131141,40.637569
-74.13854586344489,40.566538398079302,NYPL75,NYPL,Other,212-340-0903,,,718-668-0413,,Richmondtown Branch,200,Clarke Avenue,Staten Island,10306.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Richmondtown Branch",200 Clarke Avenue,"Staten Island, NY 10306",-74.138546,40.566538
-74.062989237136222,40.595817618393376,NYPL76,NYPL,Other,212-340-0903,,,718-816-5834,,South Beach Branch,21-25,Robin Road,Staten Island,10305.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, South Beach Branch",21-25 Robin Road,"Staten Island, NY 10305",-74.062989,40.595818
-74.076703627881983,40.64183123080349,NYPL77,NYPL,Other,212-340-0903,,,718-442-8560,,St. George Library Ctr.,5,Central Avenue,Staten Island,10301.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. George Library Center",5 Central Avenue,"Staten Island, NY 10301",-74.076704,40.641831
-74.077856515742269,40.626242798970168,NYPL78,NYPL,Other,212-340-0903,,,718-727-0427,,Stapleton Branch,132,Canal Street,Staten Island,10304.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Stapleton Branch",132 Canal Street,"Staten Island, NY 10304",-74.077857,40.626243
-74.148499901850158,40.609583706682017,NYPL79,NYPL,Other,212-340-0903,,,718-494-1642,,Todt Hill-Westerleigh Branch,2550,Victory Blvd.,Staten Island,10314.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Todt Hill-Westerleigh Branch",2550 Victory Blvd.,"Staten Island, NY 10314",-74.148500,40.609584
-74.114835674904597,40.634512059006362,NYPL81,NYPL,Other,212-340-0903,,,718-442-1416,,West New Brighton Branch,976,Castleton Avenue,Staten Island,10310.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West New Brighton Branch",976 Castleton Avenue,"Staten Island, NY 10310",-74.114836,40.634512
-73.930175578428504,40.766135063041325,DOE_DYCD94,DOE,21st Century,212-374-5472,Jacob A. Riis Neighborhood Settlement House,111729398,718-784-7447,30Q126,Albert Shanker School of Performing Arts,31-51,21st Street,Queens,11106.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Jacob A. Riis Neighborhood Settlement House,31-51 21st Street,"Queens, NY 11106",-73.930176,40.766135
-73.89397195888516,40.653723665383581,DOE_DYCD46,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K260,PS 260,875,Williams Avenue,Brooklyn,11207.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,875 Williams Avenue,"Brooklyn, NY 11207",-73.893972,40.653724
-73.886510374247635,40.655221210676594,DOE_DYCD48,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K306,PS 306,970,Vermont Street,Brooklyn,11207.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,970 Vermont Street,"Brooklyn, NY 11207",-73.886510,40.655221
-73.876351683577596,40.666186857147515,DOE_DYCD44,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K202,PS 202,982,Hegeman Ave,Brooklyn,11208.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,982 Hegeman Ave,"Brooklyn, NY 11208",-73.876352,40.666187
-73.868105871402406,40.737376119412026,DOE_DYCD51,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,24Q013,PS 13,55-01,94th Street,Queens,11373.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,55-01 94th Street,"Queens, NY 11373",-73.868106,40.737376
-73.873094257523533,40.68936761813228,DOE_DYCD2,DOE,21st Century,212-374-5472,Cypress Hills Local Development,112683663,718-647-2800,19K007,PS 7,858,Jamaica Avenue,Brooklyn,11208.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Cypress Hills Local Dev.,858 Jamaica Avenue,"Brooklyn, NY 11208",-73.873094,40.689368
-73.921467049145917,40.806348011852066,DOE_DYCD28,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X043,PS 43,165,Brown Place,Bronx,10454.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,165 Brown Place,"Bronx, NY 10454",-73.921467,40.806348
-73.919917991367129,40.809330550409911,DOE_DYCD29,DOE,21st Century,212-374-5472,East Side House Settlement,131623989,718-665-5250,07X220,PS 220,468,East 140th Street,Bronx,10454.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,yes,No,Full-time,0,yes,yes,yes,21st Century - East Side House Settlement,468 East 140th Street,"Bronx, NY 10454",-73.919918,40.809331
-73.984071156818572,40.718196851036687,DOE_DYCD31,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M142,PS 142,100,Attorney Street,Manhattan,10002.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Attorney Street,"Manhattan, NY 10002",-73.984071,40.718197
-74.012346599105143,40.70925408825719,DOE_DYCD33,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,02M489,HS of Economic & Finance,100,Trinity Place,Manhattan,10006.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,No,No,yes,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,100 Trinity Place,"Manhattan, NY 10006",-74.012347,40.709254
-73.985971930344348,40.720147457154006,DOE_DYCD32,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M509,Marta Valle HS,145,Stanton Street,Manhattan,10002.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,145 Stanton Street,"Manhattan, NY 10002",-73.985972,40.720147
-73.981759292785853,40.72370446833402,DOE_DYCD30,DOE,21st Century,212-374-5472,Educational Alliance,135562210,212-780-2300,01M064,PS 64,600,East 6th Street,Manhattan,10009.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Educational Alliance,600 East 6th Street,"Manhattan, NY 10009",-73.981759,40.723704
-73.879897667141023,40.676267027875177,DOE_DYCD50,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K345,PS 345,111,Berriman Street,Brooklyn,11208.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,111 Berriman Street,"Brooklyn, NY 11208",-73.879898,40.676267
-73.897624628373947,40.665556836997553,DOE_DYCD43,DOE,21st Century,212-374-5472,Groundwork,,212-346-2200,19K174,PS 174,574,Dumont Avenue,Brooklyn,11207.00000000000,School,0.00000000000,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - Groundwork,574 Dumont Avenue,"Brooklyn, NY 11207",-73.897625,40.665557
-74.079090628153992,40.64290933803224,DOE_DYCD323,DOE,TASC,212-374-5472,New York Center for Interpersonal Development,237085239,718-815-4557,31R600,McKee HS,290,Saint Marks Place,Staten Island,10301.00000000000,School,150.00000000000,No,Yes,No,No,No,No,Yes,Full-time,150,yes,yes,yes,TASC - NY Center for Interpersonal Dev.,290 Saint Marks Place,"Staten Island, NY 10301",-74.079091,40.642909
-73.952582193792665,40.817555314368384,DOE_DYCD298,DOE,TASC,212-374-5472,Harlem Dowling West Side Center for Children & Family Services,133030378,212-749-3656,05M161,PS 161,499,West 133rd Street,Manhattan,10027.00000000000,School,250.00000000000,No,Yes,No,No,Yes,No,No,Full-time,250,yes,yes,yes,TASC - Harlem Dowling,499 West 133rd Street,"Manhattan, NY 10027",-73.952582,40.817555
-73.900742157331592,40.827378579915745,DOE_DYCD308,DOE,TASC,212-374-5472,Kips Bay Boys & Girls Club,131623850,718-893-8600,12X158,IS 158/CS 212,800,Home Street,Bronx,10456.00000000000,School,250.00000000000,No,Yes,No,No,No,Yes,No,Full-time,250,yes,yes,yes,TASC - Kips Bay Boys & Girls Club,800 Home Street,"Bronx, NY 10456",-73.900742,40.827379
-73.896729137210428,40.734656619578097,DOE_DYCD314,DOE,TASC,212-374-5472,Maspeth Town Hall,237259702,718-335-6049,24Q229,PS 229,67-25,51st Road,Queens,11377.00000000000,School,430.00000000000,No,Yes,No,No,Yes,No,No,Full-time,430,yes,yes,yes,TASC - Maspeth Town Hall,67-25 51st Road,"Queens, NY 11377",-73.896729,40.734657
-73.827892161072839,40.844292005864041,NYPL56,NYPL,Other,212-340-0903,,,718-792-6744,,Pelham Bay Branch,3060,Middletown Road,Bronx,10461.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Pelham Bay Branch",3060 Middletown Road,"Bronx, NY 10461",-73.827892,40.844292
-74.005343549400763,40.729867767784462,NYPL12,NYPL,Other,212-340-0903,,,212-929-0815,,Early Childhood Resource & Information Ctr.,66,Leroy Street,Manhattan,10014.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Early Childhood Resource and Information Center",66 Leroy Street,"Manhattan, NY 10014",-74.005344,40.729868
-73.982026372431534,40.73810168678289,NYPL13,NYPL,Other,212-340-0903,,,212-679-2645,,Epiphany Branch,228,East 23rd Street,Manhattan,10010.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Epiphany Branch",228 East 23rd Street,"Manhattan, NY 10010",-73.982026,40.738102
-73.933858814111474,40.847880608109797,NYPL14,NYPL,Other,212-340-0903,,,212-927-3533,,Fort Washington Branch,535,West 179th Street,Manhattan,10033.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Fort Washington Branch",535 West 179th Street,"Manhattan, NY 10033",-73.933859,40.847881
-73.95707619343419,40.813771584761419,NYPL15,NYPL,Other,212-340-0903,,,212-662-9727,,George Bruce Branch,518,West 125th Street,Manhattan,10027.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, George Bruce Branch",518 West 125th Street,"Manhattan, NY 10027",-73.957076,40.813772
-73.979599601506919,40.719320726396319,NYPL16,NYPL,Other,212-340-0903,,,212-673-2290,,Hamilton Fish Park Branch,415,East Houston Street,Manhattan,10002.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Fish Park Branch",415 East Houston Street,"Manhattan, NY 10002",-73.979600,40.719321
-73.948025032207113,40.825678041548379,NYPL17,NYPL,Other,212-340-0903,,,212-926-2147,,Hamilton Grange Branch,503,West 145th Street,Manhattan,10031.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hamilton Grange Branch",503 West 145th Street,"Manhattan, NY 10031",-73.948025,40.825678
-73.943305015355847,40.806190432891839,NYPL18,NYPL,Other,212-340-0903,,,212-348-5620,,Harlem Branch,9,West 124th Street,Manhattan,10027.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Harlem Branch",9 West 124th Street,"Manhattan, NY 10027",-73.943305,40.806190
-74.005343549400763,40.729867767784462,NYPL19,NYPL,Other,212-340-0903,,,212-243-6876,,Hudson Park Branch,66,Leroy Street,Manhattan,10014.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Hudson Park Branch",66 Leroy Street,"Manhattan, NY 10014",-74.005344,40.729868
-73.925863863794149,40.865732310512094,NYPL20,NYPL,Other,212-340-0903,,,212-942-2445,,Inwood Branch,4790,Broadway,Manhattan,10034.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Inwood Branch",4790 Broadway,"Manhattan, NY 10034",-73.925864,40.865732
-73.999184009029435,40.734592692881122,NYPL21,NYPL,Other,212-340-0903,,,212-243-4334,,Jefferson Market Regional Branch,425,Ave. of the Americas,Manhattan,10011.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Jefferson Market Regional Branch",425 Ave. of the Americas,"Manhattan, NY 10011",-73.999184,40.734593
-73.9799313332027,40.743806743384809,NYPL22,NYPL,Other,212-340-0903,,,212-683-2520,,Kips Bay Branch,446,Third Avenue,Manhattan,10016.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Kips Bay Branch",446 Third Avenue,"Manhattan, NY 10016",-73.979931,40.743807
-73.935848503833512,40.826687086290129,NYPL23,NYPL,Other,212-340-0903,,,212-281-4900,,Macomb's Bridge Branch,2650,Seventh Avenue,Manhattan,10039.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Macomb's Bridge Branch",2650 Seventh Avenue,"Manhattan, NY 10039",-73.935849,40.826687
-73.964791901028619,40.806056505853107,NYPL24,NYPL,Other,212-340-0903,,,212-864-2530,,Morningside Heights Branch,2900,Broadway,Manhattan,10025.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Morningside Heights Branch",2900 Broadway,"Manhattan, NY 10025",-73.964792,40.806057
-73.995965292345943,40.744519310035045,NYPL25,NYPL,Other,212-340-0903,,,212-924-1585,,Muhlenberg Branch,209,West 23rd Street,Manhattan,10011.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Muhlenberg Branch",209 West 23rd Street,"Manhattan, NY 10011",-73.995965,40.744519
-74.007860062703784,40.713610418363061,NYPL26,NYPL,Other,212-340-0903,,,212-732-8186,,New Amsterdam Branch,9,Murray Street,Manhattan,10007.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Amsterdam Branch",9 Murray Street,"Manhattan, NY 10007",-74.007860,40.713610
-73.98778528857261,40.728921312605671,NYPL27,NYPL,Other,212-340-0903,,,212-674-0947,,Ottendorfer Branch,135,Second Avenue,Manhattan,10003.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Ottendorfer Branch",135 Second Avenue,"Manhattan, NY 10003",-73.987785,40.728921
-73.984249897006066,40.774153143283179,NYPL28,NYPL,Other,212-340-0903,,,212-870-1810,,Riverside Branch,127,Amsterdam Avenue,Manhattan,10023.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverside Branch",127 Amsterdam Avenue,"Manhattan, NY 10023",-73.984250,40.774153
-73.950199645879067,40.76123235748009,NYPL29,NYPL,Other,212-340-0903,,,212-308-6243,,Roosevelt Island Branch,524,Main Street,Manhattan,10044.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Roosevelt Island Branch",524 Main Street,"Manhattan, NY 10044",-73.950200,40.761232
-73.988536207421816,40.714469226888276,NYPL30,NYPL,Other,212-340-0903,,,212-477-6770,,Seward Park Branch,192,East Broadway,Manhattan,10002.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Seward Park Branch",192 East Broadway,"Manhattan, NY 10002",-73.988536,40.714469
-73.977430967480728,40.784799001537785,NYPL31,NYPL,Other,212-340-0903,,,212-877-4380,,St. Agnes Branch,444,Amsterdam Avenue,Manhattan,10024.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. Agnes Branch",444 Amsterdam Avenue,"Manhattan, NY 10024",-73.977431,40.784799
-73.980392859072552,40.727296101568356,NYPL32,NYPL,Other,212-340-0903,,,212-228-4747,,Tompkins Sqare Branch,331,East Tenth Street,Manhattan,10009.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tompkins Sqare Branch",331 East Tenth Street,"Manhattan, NY 10009",-73.980393,40.727296
-73.93967938919991,40.834514321361475,NYPL33,NYPL,Other,212-340-0903,,,212-923-6054,,Washington Heights Branch,1000,St. Nicholas Avenue,Manhattan,10032.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Washington Heights Branch",1000 St. Nicholas Avenue,"Manhattan, NY 10032",-73.939679,40.834514
-73.951376776744979,40.770647325081917,NYPL34,NYPL,Other,212-340-0903,,,212-288-5049,,Webster Branch,1465,York Avenue,Manhattan,10021.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Webster Branch",1465 York Avenue,"Manhattan, NY 10021",-73.951377,40.770647
-73.956432845970298,40.773597196923532,NYPL35,NYPL,Other,212-340-0903,,,212-744-5824,,Yorkville Branch,222,East 79th Street,Manhattan,10021.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Yorkville Branch",222 East 79th Street,"Manhattan, NY 10021",-73.956433,40.773597
-73.863203928137224,40.866817299655885,NYPL36,NYPL,Other,212-340-0903,,,718-881-4240,,Allerton Branch,2740,Barnes Avenue,Bronx,10467.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Allerton Branch",2740 Barnes Avenue,"Bronx, NY 10467",-73.863204,40.866817
-73.828445701310599,40.870484651592704,NYPL37,NYPL,Other,212-340-0903,,,718-379-6700,,Baychester Regional Branch,2049,Asch Loop North,Bronx,10475.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Baychester Regional Branch",2049 Asch Loop North,"Bronx, NY 10475",-73.828446,40.870485
-73.887918855877672,40.854330859850187,NYPL38,NYPL,Other,212-340-0903,,,718-933-6410,,Belmont Regional Branch,610,East 186th Street,Bronx,10458.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Belmont Regional Branch",610 East 186th Street,"Bronx, NY 10458",-73.887919,40.854331
-73.850202753506863,40.826613116061431,NYPL39,NYPL,Other,212-340-0903,,,718-824-3838,,Castle Hill Branch,947,Castle Hill Avenue,Bronx,10473.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Castle Hill Branch",947 Castle Hill Avenue,"Bronx, NY 10473",-73.850203,40.826613
