Country,year,remittances
American Samoa,1971,..
Andorra,1971,..
Angola,1971,..
Antigua and Barbuda,1971,..
Argentina,1971,..
Armenia,1971,..
Aruba,1971,..
Australia,1971,176
Austria,1971,25
Azerbaijan,1971,..
"Bahamas, The",1971,..
Bahrain,1971,..
Bangladesh,1971,..
Barbados,1971,5
Belarus,1971,..
Belgium,1971,..
Belize,1971,..
Benin,1971,..
Bermuda,1971,..
Bhutan,1971,..
Bolivia,1971,..
Bosnia and Herzegovina,1971,..
Botswana,1971,..
Brazil,1971,..
Brunei,1971,..
Bulgaria,1971,..
Burkina Faso,1971,..
Burundi,1971,..
Cambodia,1971,..
Cameroon,1971,..
Canada,1971,..
Cape Verde,1971,..
Cayman Islands,1971,..
Central African Republic,1971,..
Chad,1971,..
Chile,1971,..
China,1971,..
Colombia,1971,22
Comoros,1971,..
"Congo, Dem. Rep.",1971,..
"Congo, Rep.",1971,..
Costa Rica,1971,..
Cote d'Ivoire,1971,..
Croatia,1971,..
Cuba,1971,..
Cyprus,1971,..
Czech Republic,1971,..
Denmark,1971,..
Djibouti,1971,..
Dominica,1971,..
Dominican Republic,1971,15
Ecuador,1971,..
"Egypt, Arab Rep.",1971,..
El Salvador,1971,..
Equatorial Guinea,1971,..
Eritrea,1971,..
Estonia,1971,..
Ethiopia,1971,..
Faeroe Islands,1971,..
Fiji,1971,..
Finland,1971,..
France,1971,..
French Polynesia,1971,..
Gabon,1971,..
"Gambia, The",1971,..
Georgia,1971,..
Germany,1971,210
Ghana,1971,..
Greece,1971,..
Greenland,1971,..
Grenada,1971,..
Guam,1971,..
Guatemala,1971,..
Guinea,1971,..
Guinea-Bissau,1971,..
Guyana,1971,..
Haiti,1971,18
Honduras,1971,..
"Hong Kong, China",1971,..
Hungary,1971,..
Iceland,1971,..
India,1971,140
Indonesia,1971,..
"Iran, Islamic Rep.",1971,..
Iraq,1971,..
Ireland,1971,..
Israel,1971,140
Italy,1971,1367
Jamaica,1971,..
Japan,1971,..
Jordan,1971,..
Kazakhstan,1971,..
Kenya,1971,7.26
Kiribati,1971,..
"Korea, Dem. Rep.",1971,..
"Korea, Rep.",1971,..
Kuwait,1971,..
Kyrgyz Republic,1971,..
Lao PDR,1971,..
Latvia,1971,..
Lebanon,1971,..
Lesotho,1971,..
Liberia,1971,..
Libya,1971,..
Liechtenstein,1971,..
Lithuania,1971,..
Luxembourg,1971,..
"Macao, China",1971,..
"Macedonia, FYR",1971,..
Madagascar,1971,..
Malawi,1971,..
Malaysia,1971,..
Maldives,1971,..
Mali,1971,..
Malta,1971,18
Marshall Islands,1971,..
Mauritania,1971,..
Mauritius,1971,..
Mayotte,1971,..
Mexico,1971,..
"Micronesia, Fed. Sts.",1971,..
Moldova,1971,..
Monaco,1971,..
Mongolia,1971,..
Morocco,1971,..
Mozambique,1971,..
Myanmar,1971,..
Namibia,1971,..
Nepal,1971,..
Netherlands,1971,203
Netherlands Antilles,1971,..
New Caledonia,1971,..
New Zealand,1971,..
Nicaragua,1971,..
Niger,1971,..
Nigeria,1971,..
Norway,1971,..
Oman,1971,..
Pakistan,1971,..
Palau,1971,..
Panama,1971,..
Papua New Guinea,1971,..
Paraguay,1971,..
Peru,1971,..
Philippines,1971,..
Poland,1971,..
Portugal,1971,..
Puerto Rico,1971,..
Qatar,1971,..
Romania,1971,..
Russian Federation,1971,..
Rwanda,1971,..
Samoa,1971,..
San Marino,1971,..
Sao Tome and Principe,1971,..
Saudi Arabia,1971,..
Senegal,1971,..
Serbia and Montenegro,1971,..
Seychelles,1971,..
Sierra Leone,1971,..
Singapore,1971,..
Slovak Republic,1971,..
Slovenia,1971,..
Solomon Islands,1971,..
Somalia,1971,..
South Africa,1971,15
Spain,1971,..
Sri Lanka,1971,..
St. Kitts and Nevis,1971,..
St. Lucia,1971,..
St. Vincent and the Grenadines,1971,..
Sudan,1971,..
Suriname,1971,..
Swaziland,1971,..
Sweden,1971,12
Switzerland,1971,..
Syrian Arab Republic,1971,..
Tajikistan,1971,..
Tanzania,1971,..
Thailand,1971,..
Timor-Leste,1971,..
Togo,1971,..
Tonga,1971,1
Trinidad and Tobago,1971,..
Tunisia,1971,..
Turkey,1971,..
Turkmenistan,1971,..
Uganda,1971,..
Ukraine,1971,..
United Arab Emirates,1971,..
United Kingdom,1971,..
United States,1971,..
Uruguay,1971,..
Uzbekistan,1971,..
Vanuatu,1971,..
"Venezuela, RB",1971,..
Vietnam,1971,..
Virgin Islands (U.S.),1971,..
West Bank and Gaza,1971,..
"Yemen, Rep.",1971,..
Zambia,1971,..
Zimbabwe,1971,..
Afghanistan,1972,..
Albania,1972,..
Algeria,1972,227
American Samoa,1972,..
Andorra,1972,..
Angola,1972,..
Antigua and Barbuda,1972,..
Argentina,1972,..
Armenia,1972,..
Aruba,1972,..
Australia,1972,229
Austria,1972,36
Azerbaijan,1972,..
"Bahamas, The",1972,..
Bahrain,1972,..
Bangladesh,1972,..
Barbados,1972,5
Belarus,1972,..
Belgium,1972,..
Belize,1972,..
Benin,1972,..
Bermuda,1972,..
Bhutan,1972,..
Bolivia,1972,..
Bosnia and Herzegovina,1972,..
Botswana,1972,..
Brazil,1972,..
Brunei,1972,..
Bulgaria,1972,..
Burkina Faso,1972,..
Burundi,1972,..
Cambodia,1972,..
Cameroon,1972,..
Canada,1972,..
Cape Verde,1972,..
Cayman Islands,1972,..
Central African Republic,1972,..
Chad,1972,..
Chile,1972,..
China,1972,..
Colombia,1972,23
Comoros,1972,..
"Congo, Dem. Rep.",1972,..
"Congo, Rep.",1972,..
Costa Rica,1972,..
Cote d'Ivoire,1972,..
Croatia,1972,..
Cuba,1972,..
Cyprus,1972,..
Czech Republic,1972,..
Denmark,1972,..
Djibouti,1972,..
Dominica,1972,..
Dominican Republic,1972,24
Ecuador,1972,..
"Egypt, Arab Rep.",1972,..
El Salvador,1972,..
Equatorial Guinea,1972,..
Eritrea,1972,..
Estonia,1972,..
Ethiopia,1972,..
Faeroe Islands,1972,..
Fiji,1972,..
Finland,1972,..
France,1972,..
French Polynesia,1972,..
Gabon,1972,..
"Gambia, The",1972,..
Georgia,1972,..
Germany,1972,246
Ghana,1972,..
Greece,1972,..
Greenland,1972,..
Grenada,1972,..
Guam,1972,..
Guatemala,1972,..
Guinea,1972,..
Guinea-Bissau,1972,..
Guyana,1972,..
Haiti,1972,23
Honduras,1972,..
"Hong Kong, China",1972,..
Hungary,1972,..
Iceland,1972,..
India,1972,129
Indonesia,1972,..
"Iran, Islamic Rep.",1972,..
Iraq,1972,..
Ireland,1972,..
Israel,1972,190
Italy,1972,1552
Jamaica,1972,..
Japan,1972,..
Jordan,1972,21
Kazakhstan,1972,..
Kenya,1972,13.86
Kiribati,1972,..
"Korea, Dem. Rep.",1972,..
"Korea, Rep.",1972,..
Kuwait,1972,..
Kyrgyz Republic,1972,..
Lao PDR,1972,..
Latvia,1972,..
Lebanon,1972,..
Lesotho,1972,..
Liberia,1972,..
Libya,1972,..
Liechtenstein,1972,..
Lithuania,1972,..
Luxembourg,1972,..
"Macao, China",1972,..
"Macedonia, FYR",1972,..
Madagascar,1972,..
Malawi,1972,..
Malaysia,1972,..
Maldives,1972,..
Mali,1972,..
Malta,1972,18
Marshall Islands,1972,..
Mauritania,1972,..
Mauritius,1972,..
Mayotte,1972,..
Mexico,1972,..
"Micronesia, Fed. Sts.",1972,..
Moldova,1972,..
Monaco,1972,..
Mongolia,1972,..
Morocco,1972,..
Mozambique,1972,..
Myanmar,1972,..
Namibia,1972,..
Nepal,1972,..
Netherlands,1972,262
Netherlands Antilles,1972,..
New Caledonia,1972,..
New Zealand,1972,108
Nicaragua,1972,..
Niger,1972,..
Nigeria,1972,..
Norway,1972,..
Oman,1972,..
Pakistan,1972,..
Palau,1972,..
Panama,1972,..
Papua New Guinea,1972,..
Paraguay,1972,..
Peru,1972,..
Philippines,1972,..
Poland,1972,..
Portugal,1972,..
Puerto Rico,1972,..
Qatar,1972,..
Romania,1972,..
Russian Federation,1972,..
Rwanda,1972,..
Samoa,1972,..
San Marino,1972,..
Sao Tome and Principe,1972,..
Saudi Arabia,1972,..
Senegal,1972,..
Serbia and Montenegro,1972,..
Seychelles,1972,..
Sierra Leone,1972,..
Singapore,1972,..
Slovak Republic,1972,..
Slovenia,1972,..
Solomon Islands,1972,..
Somalia,1972,..
South Africa,1972,17
Spain,1972,..
Sri Lanka,1972,..
St. Kitts and Nevis,1972,..
St. Lucia,1972,..
St. Vincent and the Grenadines,1972,..
Sudan,1972,..
Suriname,1972,..
Swaziland,1972,..
Sweden,1972,13
Switzerland,1972,..
Syrian Arab Republic,1972,..
Tajikistan,1972,..
Tanzania,1972,..
Thailand,1972,..
Timor-Leste,1972,..
Togo,1972,..
Tonga,1972,1
Trinidad and Tobago,1972,..
Tunisia,1972,..
Turkey,1972,..
Turkmenistan,1972,..
Uganda,1972,..
Ukraine,1972,..
United Arab Emirates,1972,..
United Kingdom,1972,..
United States,1972,..
Uruguay,1972,..
Uzbekistan,1972,..
Vanuatu,1972,..
"Venezuela, RB",1972,..
Vietnam,1972,..
Virgin Islands (U.S.),1972,..
West Bank and Gaza,1972,..
"Yemen, Rep.",1972,..
Zambia,1972,..
Zimbabwe,1972,..
Afghanistan,1973,..
Albania,1973,..
Algeria,1973,225
American Samoa,1973,..
Andorra,1973,..
Angola,1973,..
Antigua and Barbuda,1973,..
Argentina,1973,..
Armenia,1973,..
Aruba,1973,..
Australia,1973,281
Austria,1973,53
Azerbaijan,1973,..
"Bahamas, The",1973,..
Bahrain,1973,..
Bangladesh,1973,..
Barbados,1973,6
Belarus,1973,..
Belgium,1973,..
Belize,1973,..
Benin,1973,..
Bermuda,1973,..
Bhutan,1973,..
Bolivia,1973,..
Bosnia and Herzegovina,1973,..
Botswana,1973,..
Brazil,1973,..
Brunei,1973,..
Bulgaria,1973,..
Burkina Faso,1973,..
Burundi,1973,..
Cambodia,1973,..
Cameroon,1973,..
Canada,1973,..
Cape Verde,1973,..
Cayman Islands,1973,..
Central African Republic,1973,..
Chad,1973,..
Chile,1973,..
China,1973,..
Colombia,1973,30
Comoros,1973,..
"Congo, Dem. Rep.",1973,..
"Congo, Rep.",1973,..
Costa Rica,1973,..
Cote d'Ivoire,1973,..
Croatia,1973,..
Cuba,1973,..
Cyprus,1973,..
Czech Republic,1973,..
Denmark,1973,..
Djibouti,1973,..
Dominica,1973,..
Dominican Republic,1973,24
Ecuador,1973,..
"Egypt, Arab Rep.",1973,..
El Salvador,1973,..
Equatorial Guinea,1973,..
Eritrea,1973,..
Estonia,1973,..
Ethiopia,1973,..
Faeroe Islands,1973,..
Fiji,1973,..
Finland,1973,..
France,1973,..
French Polynesia,1973,..
Gabon,1973,..
"Gambia, The",1973,..
Georgia,1973,..
Germany,1973,314
Ghana,1973,..
Greece,1973,..
Greenland,1973,..
Grenada,1973,..
Guam,1973,..
Guatemala,1973,..
Guinea,1973,..
Guinea-Bissau,1973,..
Guyana,1973,..
Haiti,1973,23
Honduras,1973,..
"Hong Kong, China",1973,..
Hungary,1973,..
Iceland,1973,..
India,1973,181
Indonesia,1973,..
"Iran, Islamic Rep.",1973,..
Iraq,1973,..
Ireland,1973,..
Israel,1973,178
Italy,1973,1461
Jamaica,1973,..
Japan,1973,..
Jordan,1973,45
Kazakhstan,1973,..
Kenya,1973,12.54
Kiribati,1973,..
"Korea, Dem. Rep.",1973,..
"Korea, Rep.",1973,..
Kuwait,1973,..
Kyrgyz Republic,1973,..
Lao PDR,1973,..
Latvia,1973,..
Lebanon,1973,..
Lesotho,1973,..
Liberia,1973,..
Libya,1973,..
Liechtenstein,1973,..
Lithuania,1973,..
Luxembourg,1973,..
"Macao, China",1973,..
"Macedonia, FYR",1973,..
Madagascar,1973,..
Malawi,1973,..
Malaysia,1973,..
Maldives,1973,..
Mali,1973,..
Malta,1973,20
Marshall Islands,1973,..
Mauritania,1973,..
Mauritius,1973,..
Mayotte,1973,..
Mexico,1973,..
"Micronesia, Fed. Sts.",1973,..
Moldova,1973,..
Monaco,1973,..
Mongolia,1973,..
Morocco,1973,..
Mozambique,1973,..
Myanmar,1973,..
Namibia,1973,..
Nepal,1973,..
Netherlands,1973,367
Netherlands Antilles,1973,..
New Caledonia,1973,..
New Zealand,1973,156
Nicaragua,1973,..
Niger,1973,..
Nigeria,1973,..
Norway,1973,..
Oman,1973,..
Pakistan,1973,..
Palau,1973,..
Panama,1973,..
Papua New Guinea,1973,..
Paraguay,1973,..
Peru,1973,..
Philippines,1973,..
Poland,1973,..
Portugal,1973,..
Puerto Rico,1973,..
Qatar,1973,..
Romania,1973,..
Russian Federation,1973,..
Rwanda,1973,..
Samoa,1973,..
San Marino,1973,..
Sao Tome and Principe,1973,..
Saudi Arabia,1973,..
Senegal,1973,..
Serbia and Montenegro,1973,..
Seychelles,1973,..
Sierra Leone,1973,..
Singapore,1973,..
Slovak Republic,1973,..
Slovenia,1973,..
Solomon Islands,1973,..
Somalia,1973,..
South Africa,1973,16
Spain,1973,..
Sri Lanka,1973,..
St. Kitts and Nevis,1973,..
St. Lucia,1973,..
St. Vincent and the Grenadines,1973,..
Sudan,1973,..
Suriname,1973,..
Swaziland,1973,..
Sweden,1973,16
Switzerland,1973,..
Syrian Arab Republic,1973,..
Tajikistan,1973,..
Tanzania,1973,..
Thailand,1973,..
Timor-Leste,1973,..
Togo,1973,..
Tonga,1973,2
Trinidad and Tobago,1973,..
Tunisia,1973,..
Turkey,1973,..
Turkmenistan,1973,..
Uganda,1973,..
Ukraine,1973,..
United Arab Emirates,1973,..
United Kingdom,1973,..
United States,1973,..
Uruguay,1973,..
Uzbekistan,1973,..
Vanuatu,1973,..
"Venezuela, RB",1973,..
Vietnam,1973,..
Virgin Islands (U.S.),1973,..
West Bank and Gaza,1973,..
"Yemen, Rep.",1973,..
Zambia,1973,..
Zimbabwe,1973,..
Afghanistan,1974,..
Albania,1974,..
Algeria,1974,202
American Samoa,1974,..
Andorra,1974,..
Angola,1974,..
Antigua and Barbuda,1974,..
Argentina,1974,..
Armenia,1974,..
Aruba,1974,..
Australia,1974,309
Austria,1974,81
Azerbaijan,1974,..
"Bahamas, The",1974,..
Bahrain,1974,..
Bangladesh,1974,..
Barbados,1974,8
Belarus,1974,..
Belgium,1974,..
Belize,1974,..
Benin,1974,7
Bermuda,1974,..
Bhutan,1974,..
Bolivia,1974,..
Bosnia and Herzegovina,1974,..
Botswana,1974,..
Brazil,1974,..
Brunei,1974,..
Bulgaria,1974,..
Burkina Faso,1974,36
Burundi,1974,..
Cambodia,1974,..
Cameroon,1974,..
Canada,1974,..
Cape Verde,1974,..
Cayman Islands,1974,..
Central African Republic,1974,..
Chad,1974,..
Chile,1974,..
China,1974,..
Colombia,1974,36
Comoros,1974,..
"Congo, Dem. Rep.",1974,..
"Congo, Rep.",1974,..
Costa Rica,1974,..
Cote d'Ivoire,1974,..
Croatia,1974,..
Cuba,1974,..
Cyprus,1974,..
Czech Republic,1974,..
Denmark,1974,..
Djibouti,1974,..
Dominica,1974,..
Dominican Republic,1974,27
Ecuador,1974,..
"Egypt, Arab Rep.",1974,..
El Salvador,1974,..
Equatorial Guinea,1974,..
Eritrea,1974,..
Estonia,1974,..
Ethiopia,1974,..
Faeroe Islands,1974,..
Fiji,1974,..
Finland,1974,..
France,1974,..
French Polynesia,1974,..
Gabon,1974,..
"Gambia, The",1974,..
Georgia,1974,..
Germany,1974,357
Ghana,1974,..
Greece,1974,..
Greenland,1974,..
Grenada,1974,..
Guam,1974,..
Guatemala,1974,..
Guinea,1974,..
Guinea-Bissau,1974,..
Guyana,1974,..
Haiti,1974,22
Honduras,1974,1
"Hong Kong, China",1974,..
Hungary,1974,..
Iceland,1974,..
India,1974,266
Indonesia,1974,..
"Iran, Islamic Rep.",1974,..
Iraq,1974,..
Ireland,1974,..
Israel,1974,130
Italy,1974,1214
Jamaica,1974,..
Japan,1974,..
Jordan,1974,75
Kazakhstan,1974,..
Kenya,1974,18.48
Kiribati,1974,..
"Korea, Dem. Rep.",1974,..
"Korea, Rep.",1974,..
Kuwait,1974,..
Kyrgyz Republic,1974,..
Lao PDR,1974,..
Latvia,1974,..
Lebanon,1974,..
Lesotho,1974,..
Liberia,1974,..
Libya,1974,..
Liechtenstein,1974,..
Lithuania,1974,..
Luxembourg,1974,..
"Macao, China",1974,..
"Macedonia, FYR",1974,..
Madagascar,1974,0.415448451
Malawi,1974,..
Malaysia,1974,29
Maldives,1974,..
Mali,1974,..
Malta,1974,19
Marshall Islands,1974,..
Mauritania,1974,..
Mauritius,1974,..
Mayotte,1974,..
Mexico,1974,..
"Micronesia, Fed. Sts.",1974,..
Moldova,1974,..
Monaco,1974,..
Mongolia,1974,..
Morocco,1974,..
Mozambique,1974,..
Myanmar,1974,..
Namibia,1974,..
Nepal,1974,..
Netherlands,1974,348
Netherlands Antilles,1974,..
New Caledonia,1974,..
New Zealand,1974,162
Nicaragua,1974,..
Niger,1974,4
Nigeria,1974,..
Norway,1974,..
Oman,1974,..
Pakistan,1974,..
Palau,1974,..
Panama,1974,..
Papua New Guinea,1974,..
Paraguay,1974,..
Peru,1974,..
Philippines,1974,..
Poland,1974,..
Portugal,1974,..
Puerto Rico,1974,..
Qatar,1974,..
Romania,1974,..
Russian Federation,1974,..
Rwanda,1974,..
Samoa,1974,..
San Marino,1974,..
Sao Tome and Principe,1974,..
Saudi Arabia,1974,..
Senegal,1974,9
Serbia and Montenegro,1974,..
Seychelles,1974,..
Sierra Leone,1974,..
Singapore,1974,..
Slovak Republic,1974,..
Slovenia,1974,..
Solomon Islands,1974,..
Somalia,1974,..
South Africa,1974,26
Spain,1974,..
Sri Lanka,1974,..
St. Kitts and Nevis,1974,..
St. Lucia,1974,..
St. Vincent and the Grenadines,1974,..
Sudan,1974,..
Suriname,1974,..
Swaziland,1974,4
Sweden,1974,20
Switzerland,1974,..
Syrian Arab Republic,1974,..
Tajikistan,1974,..
Tanzania,1974,..
Thailand,1974,..
Timor-Leste,1974,..
Togo,1974,4
Tonga,1974,5
Trinidad and Tobago,1974,..
Tunisia,1974,..
Turkey,1974,1426
Turkmenistan,1974,..
Uganda,1974,..
Ukraine,1974,..
United Arab Emirates,1974,..
United Kingdom,1974,..
United States,1974,..
Uruguay,1974,..
Uzbekistan,1974,..
Vanuatu,1974,..
"Venezuela, RB",1974,..
Vietnam,1974,..
Virgin Islands (U.S.),1974,..
West Bank and Gaza,1974,..
"Yemen, Rep.",1974,..
Zambia,1974,..
Zimbabwe,1974,..
Afghanistan,1975,..
Albania,1975,..
Algeria,1975,266
American Samoa,1975,..
Andorra,1975,..
Angola,1975,..
Antigua and Barbuda,1975,..
Argentina,1975,..
Armenia,1975,..
Aruba,1975,..
Australia,1975,287
Austria,1975,87
Azerbaijan,1975,..
"Bahamas, The",1975,..
Bahrain,1975,..
Bangladesh,1975,..
Barbados,1975,9
Belarus,1975,..
Belgium,1975,662
Belize,1975,..
Benin,1975,18
Bermuda,1975,..
Bhutan,1975,..
Bolivia,1975,..
Bosnia and Herzegovina,1975,..
Botswana,1975,43
Brazil,1975,82
Brunei,1975,..
Bulgaria,1975,..
Burkina Faso,1975,48
Burundi,1975,..
Cambodia,1975,..
Cameroon,1975,..
Canada,1975,..
Cape Verde,1975,..
Cayman Islands,1975,..
Central African Republic,1975,..
Chad,1975,..
Chile,1975,..
China,1975,..
Colombia,1975,23
Comoros,1975,..
"Congo, Dem. Rep.",1975,..
"Congo, Rep.",1975,..
Costa Rica,1975,..
Cote d'Ivoire,1975,12
Croatia,1975,..
Cuba,1975,..
Cyprus,1975,..
Czech Republic,1975,..
Denmark,1975,..
Djibouti,1975,..
Dominica,1975,..
Dominican Republic,1975,28
Ecuador,1975,..
"Egypt, Arab Rep.",1975,..
El Salvador,1975,..
Equatorial Guinea,1975,..
Eritrea,1975,..
Estonia,1975,..
Ethiopia,1975,..
Faeroe Islands,1975,..
Fiji,1975,..
Finland,1975,19
France,1975,628
French Polynesia,1975,..
Gabon,1975,..
"Gambia, The",1975,1
Georgia,1975,..
Germany,1975,420
Ghana,1975,..
Greece,1975,..
Greenland,1975,..
Grenada,1975,..
Guam,1975,..
Guatemala,1975,..
Guinea,1975,..
Guinea-Bissau,1975,..
Guyana,1975,..
Haiti,1975,59
Honduras,1975,1
"Hong Kong, China",1975,..
Hungary,1975,..
Iceland,1975,..
India,1975,430
Indonesia,1975,..
"Iran, Islamic Rep.",1975,..
Iraq,1975,..
Ireland,1975,..
Israel,1975,101
Italy,1975,1602
Jamaica,1975,..
Japan,1975,..
Jordan,1975,167
Kazakhstan,1975,..
Kenya,1975,13.2
Kiribati,1975,..
"Korea, Dem. Rep.",1975,..
"Korea, Rep.",1975,..
Kuwait,1975,..
Kyrgyz Republic,1975,..
Lao PDR,1975,..
Latvia,1975,..
Lebanon,1975,..
Lesotho,1975,122
Liberia,1975,..
Libya,1975,..
Liechtenstein,1975,..
Lithuania,1975,..
Luxembourg,1975,..
"Macao, China",1975,..
"Macedonia, FYR",1975,..
Madagascar,1975,0.466609248
Malawi,1975,..
Malaysia,1975,39
Maldives,1975,..
Mali,1975,23
Malta,1975,22
Marshall Islands,1975,..
Mauritania,1975,0.440791801
Mauritius,1975,..
Mayotte,1975,..
Mexico,1975,..
"Micronesia, Fed. Sts.",1975,..
Moldova,1975,..
Monaco,1975,..
Mongolia,1975,..
Morocco,1975,533
Mozambique,1975,..
Myanmar,1975,..
Namibia,1975,..
Nepal,1975,..
Netherlands,1975,335
Netherlands Antilles,1975,..
New Caledonia,1975,..
New Zealand,1975,157
Nicaragua,1975,..
Niger,1975,8
Nigeria,1975,..
Norway,1975,8
Oman,1975,..
Pakistan,1975,..
Palau,1975,..
Panama,1975,..
Papua New Guinea,1975,..
Paraguay,1975,6
Peru,1975,..
Philippines,1975,..
Poland,1975,..
Portugal,1975,1127
Puerto Rico,1975,..
Qatar,1975,..
Romania,1975,..
Russian Federation,1975,..
Rwanda,1975,..
Samoa,1975,..
San Marino,1975,..
Sao Tome and Principe,1975,..
Saudi Arabia,1975,..
Senegal,1975,26
Serbia and Montenegro,1975,..
Seychelles,1975,..
Sierra Leone,1975,..
Singapore,1975,..
Slovak Republic,1975,..
Slovenia,1975,..
Solomon Islands,1975,..
Somalia,1975,..
South Africa,1975,36
Spain,1975,1404
Sri Lanka,1975,9
St. Kitts and Nevis,1975,..
St. Lucia,1975,..
St. Vincent and the Grenadines,1975,..
Sudan,1975,..
Suriname,1975,..
Swaziland,1975,8
Sweden,1975,26
Switzerland,1975,..
Syrian Arab Republic,1975,..
Tajikistan,1975,..
Tanzania,1975,..
Thailand,1975,18
Timor-Leste,1975,..
Togo,1975,5
Tonga,1975,7
Trinidad and Tobago,1975,3
Tunisia,1975,..
Turkey,1975,1312
Turkmenistan,1975,..
Uganda,1975,..
Ukraine,1975,..
United Arab Emirates,1975,..
United Kingdom,1975,..
United States,1975,..
Uruguay,1975,..
Uzbekistan,1975,..
Vanuatu,1975,..
"Venezuela, RB",1975,..
Vietnam,1975,..
