dbn,school_name,boro,building_code,shared_space,phone_number,fax_number,school_email,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,year_at_scale,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,diplomaendorsements,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
07X473,Mott Haven Village Preparatory High School,Bronx,X470,Yes,718-402-0571,718-665-2363,principalwilliams@mhvpschool.com,9,12,,,,"Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6","2, 5 to Jackson Ave",701 ST. ANNS AVENUE, BRONX,NY,10455,http://schools.nyc.gov/SchoolPortals/07/X473,364,South Bronx Educational Campus,,"Mott Haven Village Prep provides students with opportunities for higher education and a bright future. Our caring school environment gives students immediate and appropriate attention that supports personal progress and advances academic achievement. A challenging academic curriculum inspires students to rise above expected goals and reach for excellence. A committed and energetic staff supports this embrace of distinction. Special programs in college readiness and cooperative learning, student-centered thematic units, community service, internships, and teacher-student advisories build a solid foundation for future endeavors.","Peer Education, Educational Counseling, CUNY College Now, Internship Seminars, Day and Overnight College Trips, Small Group Advisories, Wireless Computer Network, Cooperative Learning Groups, Peer Mentoring, Project Discovery, Regents Preparation, I Challenge Myself (ICM) Bike and Health Program, Math & Science Program (MSP) in New York City, Summer Search, Working Playground, PSAT/SAT Prep",Italian,"English, United States History",,"Respect for All Program, Annual Û÷World's FairÛª Exhibition, Book, Dance, Discussion Groups, DJ Mixing, Literature Appreciation Program, Museum, Newsletter, , Readers in Residence, Special Events Committee, Spoken Word, Student Government, Student Leadership Retreats, Visual and Performing Arts Appreciation Program, Writers, Spectrum","Baseball, Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball","Basketball, Flag Football, Soccer, Softball, Volleyball",,"Intramural Sports, Physical Fitness Team",East Side House Settlement,"Lincoln Hospital, Montefiore Medical Center (Clinic), Bronx-Lebanon Hospital","Hunter College, Teachers College/Columbia University, Hostos Community College, Lehman College, The New School/Eugene Lang College","The Metropolitan Museum of Art, Community Works, Alvin Ailey American Dance Theater, Urban Word Company, Urban Arts Partnership","New Visions for Public Schools, Youth Development Institute, The Fund for the City of New York, Directions for Our Youth, I Challenge Myself, National Book Foundation, New York Cares, Reading Excellence and Discovery (READ) Foundation, Bronx Community Anti-Defamation League",,JP Morgan Chase & Company,,iLearnNYC: Program for expanded online coursework and self-paced learning,"Dress Code Required: Long or short-sleeved white polo shirt, black or khaki slacks/skirt (no shorter than 3 inches above the knee), black, brown or khaki colored shoes, optional tie for boys; Internship Opportunities; Community Service Opportunities; Saturday Academy",8:30 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
07X495,University Heights Secondary School,Bronx,X470,Yes,718-292-0578,718-292-4276,hjoseph4@schools.nyc.gov,9,12,,,,"Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6","2, 5 to Jackson Ave",701 ST. ANNS AVENUE, BRONX,NY,10455,www.UniversityHeightsHighSchool.org,486,South Bronx Educational Campus,Performance Assessment School,"University Heights Secondary School is a college preparatory high school whose mission is to be a high school that feels like a college. All students are required to take college courses through our partnership with CUNY. Students in the Honors and Early College program are required to take a minimum of two college classes per year. Additionally, upperclassmen can apply for an executive internship program in which they gain real-world experience in fields of medicine, business, law, culinary arts, architecture, education, and STEM (science, technology, engineering, and mathematics). We provide a culture of learning, respect, and responsibility. Our students benefit from our unique college-inspired schedule, technology in the classroom and project-based learning. Our community partners provide over 30 extracurricular activities, clubs, curricular programs and opportunities for our students. As part of our community outreach and to promote financial literacy, students are able to manage and cultivate our large organic urban SPIN farm located on school grounds.","Technology Access, Early College, CUNY College Now, Honors Classes, Advisory, Blended learning opportunities, Project based learning, Power Writing, Narrative4, Classroom Connections, City College Grove School of Engineering STEM Program, Living For the Young Family through Education (LYFE) Center, Robotics, Computer Programming, Technical Drawing (drafting), Tech Leaders of Tomorrow, Peer Mentoring, Green Technology, Aiming High, Health Corps, Center for Educational Innovation Public Education Association Theater Program, Heights News Network (HNN), Upward Bound, Upward Bound STEM, Music Program","French, Italian","Biology, Calculus, English",,"After-school Activities, Band, Conflict Resolution, Dance, Drama, HNN, Martial Arts, Network for Teaching Entrepreneurship (NFTE), Newspaper, Painting and Drawing, Part of the Solution (POTS), Photography, Poetry, Power Writers, PrincipalÛªs Panel, Project Adventure, Service Learning, Steppers, Student Government, Student Leadership Group, Taconic Outdoor Science Center, Moth Project, Technology, Teen Battle Chef, UHHS Urban Spin Farm (with Project Eats), Video Editing, Yearbook Committee, Young GentlemenÛªs Group, Bridges After school Enrichment Program, I Challenge Myself Cycling Program, Debate; Opportunities from: Summer Search, Sponsors for Educational Opportunities (SEO), WomenÛªs Bond Club Scholarship, TRIO, Good Shepherd Services, Life Link, Fisher Rock Leadership Program, Bloomberg Executive Leadership Program, New Settlement College Access Center, Henkels & McCoy","Baseball, Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball","Basketball, Flag Football, Soccer, Softball, Volleyball",,"Intramural Basketball, Flag Football, Track, Young Runners Program, Cheerleading","Good Shepherd Services, Inwood House (After-school Program), Health Corps",On site Montefiore Medical Center Clinic; Morris Heights Health Center.,Hunter College; Lehman College; New York University (NYU); Bronx Community College; Bard College.,"Bronx Arts Ensemble, Creative Arts Team (CAT), Early Stages, Family Life Theater, Nuyorican Poets, Moth Project.","New York Road Runners, New York Cares, Pencil, Project Eats, Tribeca Film Festival, and CAT Creative Arts Team.",M&T Bank,"Through our Pencil Partnership, M&T Bank works with our school to provide financial literacy.","Upward Bound, Talent Search, Young Achievers",iLearnNYC: Program for expanded online coursework and self-paced learning,"Dress Code Required: White or purple polo with school logo/white or purple button-down shirt, black slacks/pants (no cargo pants), black shoes. Polo shirt can be ordered online or through the school; Academic Portfolio required for graduation; Internship Opportunities",8:45 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,2,Open to New York City residents,,,,,,,,,
07X500,Hostos-Lincoln Academy of Science,Bronx,X162,Yes,718-402-5640,718-402-5645,,6,12,,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A","2, 5 to Jackson Ave ; 6 to East 149th St - St Mary's St",600 SAINT ANN'S AVENUE, BRONX,NY,10455,www.hostoslincoln.org,544,,,We are an early college secondary school whose students attend college courses on the campus of Hostos Community College. Our school is a collaboration between the Department of Education and the City University of New York. Our students are expected to graduate with a Regents diploma granted by the Department of Education and an Associate Degree from Hostos Community College.,"College Classes at Hostos Community College, Liberty Partnership, After-school and Weekend Tutorials",Spanish,,,"Chess, Science Club (SMART Team), Dance, Drama, Guitar, Drums, Piano, Rock Band, Literary Magazine, National Honor Society, Newspaper, Peer Council, Student Government, Yearbook",,"Cross Country, Volleyball",,Boys and Girls Basketball,Liberty Partnership,Lincoln Hospital,Hostos Community College,,,,,,Weekend Program offered,Internship Opportunities,8:00 AM,2:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to continuing 8th graders,Then to New York City residents,,,,,,,,
07X520,Foreign Language Academy of Global Studies,Bronx,X155,Yes,718-585-4024,718-585-4239,07x520@schools.nyc.gov,9,12,,,,"Bx17, Bx19, Bx33, Bx4, Bx4A","2, 5 to Jackson Ave ; 6 to East 143rd St-St Mary's St",470 JACKSON AVENUE, BRONX,NY,10455,http://schools.nyc.gov/SchoolPortals/07/X520,145,,,"At Foreign Language Academy of Global Studies (FLAGS) we develop informed, responsible, and productive citizens. Students develop knowledge and skills to be able to compete in a global economy.","CUNY College Now, Young American Writers Program, Project Read","French, Spanish","English, Environmental Science",,"Bible, Leadership Programs, National Honor Society, Student Government, Talent Shows, Theater",,,,Please contact the school for more information,Wediko Children's Services,,Hostos Community College,,"New York Cares, Urban Arts Partnership, Vision Education and Media, Theatre Development Fund, Korean Tae Kwon Do",,,,"Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning","Dress Code Required: White button-down shirt/blouse, dress slacks/skirt, dress shoes. Boys wear a tie; Summer Orientation Program: In July for incoming ninth graders",7:30 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents,Then to New York City residents,,,,,,,,
07X522,Bronx Design and Construction Academy,Bronx,X600,Yes,718-402-7690,718-402-4216,dfrias@bxdca.org,9,12,,,,"Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, BxM4","4 to 149th St-Grand Concourse ; 2, 5 to 149th St-3rd Ave",333 EAST 151 STREET, BRONX,NY,10451,www.bxdca.org,563,,CTE School,"The Bronx Design and Construction Academy (BDCA) is a CTE school that prepares students for direct entry into the design and construction field and entry to a four-year college without remediation. BDCA offers Carpentry, Plumbing, HVAC, Electric, and Architectural Drafting/Pre-engineering as CTE programs. Freshmen take a survey course to find which strand is the best fit for them and focus solely on that strand during for their sophomore, junior, and senior years. We provide a challenging and engaging CTE program that is rooted in the context of transportation and sustainability. All students at BDCA receive a rigorous four-year liberal arts education alongside their CTE training. We provide a challenging interdisciplinary program that ties academic skills and discipline with CTE coursework. By focusing on a skills-based approach, we help students make connections between their coursework and real-world problems so that they may find unique and tenable solutions to any problem they wish to solve.","Transportation and Sustainable Energy Focus, Career and College Counseling, Interdisciplinary Curriculum, CUNY College Now",Spanish,United States History,,"Football, Model UN, Soccer, Chess, Cross Country, After-school Tutoring, Bowling, International Construction, Basketball, Science, Gymnastics, Paint, Wrestling, Track, Baseball, Handball, Cycling Smarts, City Harvest, Skills USA","Baseball, Basketball, Bowling, Football, Gymnastics, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",Volleyball,,,"East Side House Settelement, Habitat for Humanity, Solar 1, Green School Alliance, MTA, DCAS",Lincoln Hospital,"Columbia, City College of New York, SUNY Delhi",,"Friends of Bronx Design & Construction Academy, Inc.",,,,iLearnNYC: Program for expanded online coursework and self-paced learning,"Summer Orientation: Incoming freshmen participate in a Summer Bridge Program (4 weeks); Saturday Academy offered; Post-ninth grade, summer classes as needed; Internship Opportunities",8:00 AM,5:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,2,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
07X527,Bronx Leadership Academy II High School,Bronx,X790,Yes,718-292-7171,718-292-2355,kcallaghan@schools.nyc.gov,9,12,,,,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4","2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium",730 CONCOURSE VILLAGE WEST, BRONX,NY,10451,www.BronxleadershipAcademy2.org,495,,,"Our school motto is: 'Engage Minds, Develop Leaders, Explore Possibilities.' Our goal is to meet students at their level and prepare them academically for career and college by graduation. We want our students to find a sense of purpose and place in the world, and to see the connection between school and the real world. We aim to build relationships that develop our students into leaders able to achieve their potential in college and careers. Note: In order to model the professionalism we believe essential for our students' success, all students at BLA II wear a school uniform.","All students study four years of math and science; College & Career Seminar, English classes in which students complete at least one annual research paper, Honors courses for a number of core classes, Longer class periods to enable students to fully explore topics, WISE program (individualized study and internships for seniors), CUNY College Now","French, Spanish",English,"Math, Science","Academic Tutoring, Acting, Activism, buildOn, Math, Mock Trial/Law, National Honor Society, Photography, Poetry, SAT Prep, School Newspaper, Step/Dance, Student Council, Sustainability, The Men's Club, Yearbook (Seniors), Yoga","Baseball, Basketball, Cross Country, Football, Indoor Track, Rugby, Soccer, Wrestling","Basketball, Golf, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Volleyball",Golf,Cheerleading,South Bronx Churches,,The City University of New York,,"Woodycrest Center for Human Development, Inc.",Bloomberg Inc.,,"Manice Education Program, Bronx Zoo, Blue Engine",,"Dress Code Required: Solid white button-down dress shirt, blue or black pants, blue or black belt, tie of choice , black, navy or brown shoes. Girls-same as above, tie optional and white or black tights; Internship Opportunities",8:30 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
07X547,New Explorers High School,Bronx,X790,Yes,718-292-4150,718-292-5887,jhobson2@schools.nyc.gov,9,12,,,,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4","2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium",730 CONCOURSE VILLAGE WEST, BRONX,NY,10451,www.myNEHS.info,475,,,"In our state-of-the-art building, our students realize their potential in academics and creative expression through creative projects, hands-on activities, and our thriving visual art, dance, drama, and music programs. We offer individual attention, guidance, and tutorial assistance in the content areas and additional support for the Regents exams. We promote community involvement and activities, uniting staff, parents, and the community. We offer workshops for students and parents/guardians, as well as guidance and assistance with referrals to the agencies that serve their needs.","Students major in one of our comprehensive arts programs; Students perform at least four times a year before a school-wide audience; Our Community-Based Organization (CBO), East Side House Settlement, offers attendance interventions and incentives, counseling and extra learning time; College Support: Online programs and classes in SAT Prep; Group and individualized college counseling through college advisors and college trips","French, Russian, Spanish","Biology, English, Psychology",,"Peer leadership programs; Newspaper, Service Learning, Student Government, Tutoring, Yearbook","Baseball, Basketball, Cross Country, Football, Indoor Track, Rugby, Soccer, Wrestling","Basketball, Golf, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Volleyball",Golf,Our athletes join with students from Mott Haven Educational Campus to compete in the Public Schools Athletic League (PSAL) program; Campus-wide Cheerleading Team,East Side House Settlement,Montefiore Medical Center (Clinic),"CUNY schools, including Hostos Community College",Theater for New Audience Theater Development Fund Playwright Program DOE Arts Liaison,,,,"Achievement Reporting and Innovation System (ARIS) and EnGrade (systems of communication for parents/guardians and students to review transcripts, attendance status and monitor academic progress)","Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning; Weekend Program offered",,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,4,Open to New York City residents,,,,,,,,,
07X548,Urban Assembly School for Careers in Sports,Bronx,X790,Yes,718-292-7110,718-292-5565,,9,12,,,,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4","2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium",730 CONCOURSE VILLAGE WEST, BRONX,NY,10451,www.urbanassemblyschool.net,587,,,"The goal of the Urban Assembly School for Careers in Sports is for all of our students to be prepared for a successful future. We offer a rigorous, college-preparatory curriculum that includes opportunities to explore careers in sports-related fields. Our school is supported by a community-based, non-profit organization, The Urban Assembly, whose resources help us to provide a technology-based, text-rich learning environment. Interested students have the opportunity to become involved in extracurricular college-level classes, mentoring programs, clubs, community service projects, and internships.","Career courses, Four years of math, Honors Classes; SAT Prep, iMentor Program, CUNY College Now, Advisory, Studio Art",Spanish,"Calculus, United States Government and Politics, United States History",,"After-school Homework Center, Gaming, Chess, Community Service Program, National Honor Society, Newspaper, Physical Fitness (spring), PM School (Credit Recovery), Project Discovery, Student Government, Urban Dove, Debate, Yearbook, Aspira, Art Club","Baseball, Basketball, Cross Country, Football, Indoor Track, Rugby, Soccer, Wrestling","Basketball, Golf, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Volleyball",Golf,"Annual Campus Olympics, Urban Assembly Boys Basketball League",The Urban Assembly,Montefiore Clinic,"Hostos Community College, Mercy College, Fordham University",Enact,"Urban Dove, South Bronx United, Outward Bound, New York Urban League, Sports Foundation, Peer Health Exchange, Generation Citizen, ASPIRA, Expanded Success Initiative","New York Yankees, Turner Construction",AeA Financial Services,,,"Saturday Program: Regents Prep, Credit Recovery",8:25 AM,3:18 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,X183,Yes,718-401-4891,718-401-6626,rcheney@schools.nyc.gov,6,12,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, Bx41, Bx41-SBS","4, 5 to 138th St - Grand Concourse ; 6 to 138th St-3rd Ave ; 2 to 149th St-Grand Concourse",339 MORRIS AVENUE, BRONX,NY,10451,http://schools.nyc.gov/schoolportals/07/x551,591,,,"The Urban Assembly Bronx Academy of Letters was founded the idea that students who can express themselves in writing can succeed in any path. In addition to the challenging academic work offered, we are committed to providing learning opportunities outside of the classroom. Our students participate in a rigorous inquiry-based college preparatory curriculum, regular field trips to arts institutions, overnight trips to universities, SAT prep, and enriching community-building activities. Our student services team connects students to jobs, internships and programs that allow them to travel all over the world. We celebrate hard work, curiosity, self-expression, and service. Our graduates are critical readers and writers, fully prepared to maximize their learning and growth.","Writers In Residence Program, Writing electives, Writers Forum (speaker series), Honors classes, Overnight College Trips, Quarterly Cultural Field Trips, Interdisciplinary Courses, Regular Community Service Trips, College Exposure, College-level research projects, Student Exhibitions, Arts Programming in Dance and Visual Arts, Independent Study, Peer-Group Connection, House Council, College-Partnerships, Study Abroad Partnerships, Comprehensive Summer Programming, Advisory",Spanish,"English, Environmental Science, Spanish, United States Government and Politics, United States History",,"Extracurricular participation expected; After-school tutoring, Literary Magazine (One Pen), School Newspaper (The Raven), The Moth, Open Mics, Poetry Slams, Readings, Young Runners, Student Government, Yearbook, Art Club, Senior committee, Hip Hop club, Peer Mediation, Gender & Sexuality Alliance, School Choir, Peer Group Connections Dance, Drama, Brazilian Jiu-jitsu, Student and Teacher-Recruitment Committees, SAT Prep",Basketball,Basketball,,"Boys and Girls Basketball, Baseball, Girls Softball","Summer Focus at the University of California Berkeley-Coleman Fung foundation, Ramapo for Children, City Harvest, Camp Beckett-Chimney Corners, GROW NYC, Garden Cafe, Bronx Helpers,Learning Leaders Program, Rocking the Boat,Integrate NY Film workshop, Dreamyard Mosaic Project, Jumpstart@Monroe College, The Possibility Project, Junior Statesmen of America, Sadie Nash Young Women's Leadership, Stella Adler Youth program, International Youth Leadership Institute,College NOW, Let's Get Ready, Harlem RBI",,"Columbia University, CUNY Hostos Community College, The University of California Berkeley","Wingspan Arts, Bronx Museum of the Arts, Bronx Documentary Center","The Urban Assembly, the Foundation for Letters, Sesame Workshop, National Hispanic Institute","McGraw-Hill Publishing Company, HarperCollins Publishing",JP Morgan Chase,,,"Uniform Required: Maroon shirt with school logo, black pants, any color shoes. Uniforms can be purchased from school contracted vendor; Academic Portfolio required; Community Service required; Student Summer Orientation; Internships offered; Summer enrichment offered",8:00 AM,3:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to continuing 8th graders,Then to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,X600,Yes,718-993-5000,718-292-1944,,9,12,,,,"Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, BxM4","4 to 149th St-Grand Concourse ; 2, 5 to 149th St-3rd Ave",333 EAST 151 STREET, BRONX,NY,10451,www.aesmithhs.org,375,,CTE School,"Students can earn both an academic Regents diploma as well as a State-approved technical endorsement in the automotive trades. The ninth grade program is specifically designed to transition students into high school by providing additional academic support in both English Language Arts and Math. Students immediately begin their career sequence in ninth grade with hands-on classes in their CTE program. Our College and Career Center counsels students as they develop their post-secondary plans by offering frequent college trips, career interest workshops, and mentoring and internship opportunities.","Students may receive CTE endorsement in the following areas: Automotive Technology, Automotive Auto Body Collision Repair, Computer Graphics Technology; Summer Internships. All programs end with state-approved certifications.",Spanish,English,CTE,"Academic tutorial programs, Film, Automotive Youth Educational System (AYES) Internships, Chess, Co-op Education, Competitive Citywide Robotic Team, Modern Dance, Break Dancing, Steel Drum Orchestra, PSAT and SAT Prep Skills, USA Wrestling","Baseball, Basketball, Bowling, Football, Gymnastics, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",Volleyball,,,,Lincoln Hospital,"Hostos Community College, Lincoln Technical Institute, Universal Technical Institute",,New Visions National Academey Foundation (NAF),"BMW, Star Nissan, Lexus of Manhattan, LaSorsa Buick, Toyota of Manhattan, Greater New York Automotive Dealers Association, City World Toyota",,,,"Uniform Required: School-issued collared shirt, black or tan pants; Internship Opportunities",8:50 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL, Transitional Bilingual Education: Spanish",Not Functionally Accessible,3,Open to New York City residents,For X69D only: Open to students whose home language is Spanish,,,,,,,,
07X670,Health Opportunities High School,Bronx,X884,Yes,718-401-1826,718-401-1632,jmchedlishvili@schools.nyc.gov,9,12,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx32, Bx33, M1, M102, M7","2 to 149th St-Grand Concourse ; 6 to 138th St-3rd Ave ; 3 to 145th St ; 4, 5 to 138th St - Grand Concourse",350 GERARD AVENUE, BRONX,NY,10451,www.hopschool.com,554,,,"We are committed to preparing a diverse community of students to become life-long learners and providers of excellent health care. Our curriculum is embedded with health-related themes while focused on the sciences. Students may earn college credits through our partnerships with Hostos and Bronx Community Colleges. All students are required to complete 120 hours of fieldwork in one of our many health-related internships. Preparing students for college and the world of work is a necessity, so we employ a full-time College Bound counselor and various staff from community-based organizations to support us in reaching that goal.","Internships in Health Careers, College Bound Initiative, Health-related programs and courses","Japanese, Spanish","Biology, English, European History, Spanish",,"American Red Cross, buildOn, Changing the Odds, Digital Photography, Drama, National Honor Society/Arista, Urban Word, Student Government, The Men of Strength, The Pom Squad: School Spirit Squad; Yearbook, Young MenÛªs Leadership, Young WomenÛªs Leadership, Japanese, Guitar Lessons, A cappella, Cheerleading, Introduction to Medical Careers, Creative Writing, Music Program","Baseball, Basketball, Soccer","Basketball, Soccer",,"Baseball, Basketball, Chess, Flag Football, Soccer, Softball","East Side House Settlement; Young WomenÛªs Leadership Foundation, United Way, CAMBA, Morris Heights Clinic, LEAP, PENCIL","Bronx Lebanon Hospital, Jacobi Medical Center, Lincoln Hospital, North Central Bronx Hospital, New York-Presbyterian Hospital, Jewish Home & Hospital for the Aged","Hostos Community College, Columbia University, Borough of Manhattan Community College, Lehman College",LEAP on Stage (Learning Early About Playwriting) - a creative writing program supported by Broadway artists and directors,"New York City Department for the Aging, Hostos Liberty, New York City Department of Health, New York Cares",Deloitte LLC,,"The Wildlife Conservation Society, New York Public Library, Urban Health Plan, Project READY, Red Cross",iLearnNYC: Program for expanded online coursework and self-paced learning,"Uniform Required: Short- or long-sleeved shirt with school logo. In cold weather, students may wear the school sweatshirt or cardigan; All students must complete a health-related internship of no less than 120 hours",8:15 AM,3:35 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open to New York City residents,,,,,,,,,
08X269,Bronx Studio School for Writers and Artists,Bronx,X392,Yes,718-893-5158,718-893-5982,dvazque4@schools.nyc.gov,6,12,,,,"Bx11, Bx17, Bx19, Bx27, Bx35, Bx4, Bx46, Bx4A, Bx5, Bx6","6 to Hunts Point Ave ; 2, 5 to Intervale Ave",928 SIMPSON STREET, BRONX,NY,10459,http://schools.nyc.gov/SchoolPortals/08/X269,565,,,"Our mission is to provide students of all academic abilities with the intellectual and social tools to lead alert, literacy-rich lives. Our project-based curriculum is designed to prepare students to become globally-minded activists with a sophisticated understanding of the political, cultural, economic and social forces that have shaped their communities and the world around them. Our faculty and partners work tirelessly to ensure that our school is a learning environment open to all students, regardless of academic ability, and that every student is prepared for college and the world beyond. We value academic challenge, social justice, individualization, and high-quality teaching.","Advisory, Leadership Classes; Electives in Literature, Creative Writing, Journalism, Theater, Art, Dance, Sports Nutrition, and Forensics; Academic requirements include a final student exit project and presentation in each subject; All students take writing and art classes and every ninth grader is expected to take a dance class.","Chinese (Mandarin), Spanish","Environmental Science, United States Government and Politics",,"Student Council, Student Mediators, Art, Dance, Afro-Latin Jazz Band, Japanese, Fitness, Yearbook, UNITAS","Rugby, Wrestling","Basketball, Rugby, Volleyball",,Boys Basketball Team and Intramural 3-on-3 Basketball,"Casita Maria, Inc., F.E.G.S., UNITAS",,,Afro-Latin Jazz Aliance,"Teaching Matters Inc., Elevate NY",,,,,"Dress Code Required: Short or long-sleeved dark blue collared school polo shirt, khaki, blue or gray pants/slacks with belt, or khaki skirt (to the knee, when seated)",8:20 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to continuing 8th graders,Then to New York City residents who attend an information session,Then to New York City residents,,,,,,,
08X282,Women's Academy of Excellence,Bronx,X174,Yes,718-542-0740,718-542-0841,sburns@schools.nyc.gov,9,12,,,,"Bx22, Bx27, Bx36, Bx39, Bx5",,456 WHITE PLAINS ROAD, BRONX,NY,10473,www.thewae.org,345,,All Girls School,"The WomenÛªs Academy of Excellence is an all-girls public high school, serving grades 9-12. Our mission is to create a community of lifelong learners, to nurture the intellectual curiosity and creativity of young women and to address their developmental needs. The school community cultivates dynamic, participatory learning, enabling students to achieve academic success at many levels, especially in the fields of math, science, and civic responsibility. Our future scholars are exposed to a challenging curriculum that encourages them to achieve their personal best.",Health and Wellness Program,Spanish,Statistics,Science,"Academy of Health, Advisory, Ambassadors, Conflict Resolution Program-Effective Alternatives in Reconciliation Services (EARS), Peer Mediation, Peer Tutoring, Student Ambassadors, Student Council, Summer Bridge, Volleyball, Cheerleading","Baseball, Basketball, Cross Country, Fencing","Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Stunt, Volleyball",Stunt,,"The Leadership Program, The Coalition of 100 Black Women",,"Lehman College, Monroe College, CW Post - Long Island University, Mercy College",Jazz Foundation,"Zeta Phi Beta Sorority, Inc.","Soft Sheen Carson (L'Oreal Cosmetics), National Aeronautics and Space Administration (NASA) Science Program, Music Unites",Ridgewood Savings Bank,,,"Uniform Required: White shirt, khaki, white and navy plaid skirt, navy sweater, white or navy stockings, black shoes. In the winter, students are permitted to wear navy blue slacks. Contact the school for information about purchasing the school uniform.",8:30 AM,2:54 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Eligibility: Open only to female students,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,
